FECHA,UTILH00,UTILH03,UTILH06,UTILH09,UTILH12,UTILH15,UTILH18,UTILH21,ANNO,MES,DIA,DIASEM
2015-02-07,2.50220193770518e-05,3.62819280967251e-05,0.0961796380815117,0.563723576747538,0.563213127552246,0.133314817038994,2.7524221314757e-05,2.37709184081992e-05,2015,2,7,5
2015-02-08,2.37709184081992e-05,3.50308271278725e-05,0.10780486828409,0.546323264472736,0.580582162302827,0.15858330330691,3.37797261590199e-05,1.75154135639363e-05,2015,2,8,6
2015-02-09,2.00176155016414e-05,3.62819280967251e-05,0.130523610777484,0.632749319401073,0.644251941708704,0.174649941948915,2.62731203459044e-05,2.50220193770518e-05,2015,2,9,0
2015-02-10,2.50220193770518e-05,3.50308271278725e-05,0.13916371406838,0.643088417807671,0.652240221394827,0.183327578268877,2.7524221314757e-05,2.7524221314757e-05,2015,2,10,1
2015-02-11,2.37709184081992e-05,3.25286251901673e-05,0.0809975278244855,0.400466160220994,0.297908409400272,0.0574030146528946,2.87753222836096e-05,2.25198174393466e-05,2015,2,11,2
2015-02-12,2.1268716470494e-05,4.25374329409881e-05,0.0570639662903355,0.313947523820962,0.279646088557931,0.048555228601169,2.7524221314757e-05,2.37709184081992e-05,2015,2,12,3
2015-02-13,2.25198174393466e-05,3.50308271278725e-05,0.0934710044839459,0.566355893186004,0.523111588197614,0.155387991432461,2.7524221314757e-05,2.62731203459044e-05,2015,2,13,4
2015-02-14,2.00176155016414e-05,3.75330290655777e-05,0.0379521478901433,0.255906447673953,0.392250180158539,0.0786642245175755,2.87753222836096e-05,2.1268716470494e-05,2015,2,14,5
2015-02-15,2.25198174393466e-05,3.62819280967251e-05,0.0342914264552806,0.164877592281207,0.295334894707342,0.129395117703579,2.7524221314757e-05,2.37709184081992e-05,2015,2,15,6
2015-02-16,2.1268716470494e-05,3.12775242213148e-05,0.175282999039154,0.648031517735607,0.477751671470894,0.157763832172312,2.62731203459044e-05,2.00176155016414e-05,2015,2,16,0
2015-02-17,2.1268716470494e-05,3.50308271278725e-05,0.0369625270237809,0.169953308911842,0.264969423092321,0.0635834534390263,3.12775242213148e-05,2.00176155016414e-05,2015,2,17,1
2015-02-18,2.1268716470494e-05,3.62819280967251e-05,0.109218612378893,0.617332002161902,0.619721605012411,0.191587346865241,2.7524221314757e-05,2.7524221314757e-05,2015,2,18,2
2015-02-19,2.00176155016414e-05,3.87841300344303e-05,0.157877682360477,0.632372738009448,0.62875080070462,0.18180874169269,3.37797261590199e-05,2.00176155016414e-05,2015,2,19,3
2015-02-20,2.00176155016414e-05,3.62819280967251e-05,0.13336360997678,0.610990171350789,0.639335114901113,0.184593692449355,3.37797261590199e-05,2.1268716470494e-05,2015,2,20,4
2015-02-21,1.87665145327889e-05,3.50308271278725e-05,0.0284312695171751,0.1910105893186,0.379726659460325,0.142355272639923,2.87753222836096e-05,2.00176155016414e-05,2015,2,21,5
2015-02-22,2.25198174393466e-05,3.62819280967251e-05,0.201906427656338,0.703600418368164,0.703002392105052,0.234183581551766,3.50308271278725e-05,2.25198174393466e-05,2015,2,22,6
2015-02-23,2.00176155016414e-05,4.00352310032829e-05,0.109497607894948,0.538777874529586,0.488149571623028,0.184801375210185,3.37797261590199e-05,2.1268716470494e-05,2015,2,23,0
2015-02-24,2.1268716470494e-05,3.50308271278725e-05,0.184763842181119,0.655375480422772,0.634741072143486,0.185500740651774,2.7524221314757e-05,2.37709184081992e-05,2015,2,24,1
2015-02-25,2.7524221314757e-05,3.00264232524622e-05,0.118081411642245,0.475844993594363,0.497901903675234,0.19327883537513,2.87753222836096e-05,1.75154135639363e-05,2015,2,25,2
2015-02-26,2.37709184081992e-05,3.50308271278725e-05,0.13904360837537,0.361914734966771,0.438417057010169,0.104331811994555,3.12775242213148e-05,1.87665145327889e-05,2015,2,26,3
2015-02-27,2.62731203459044e-05,3.75330290655777e-05,0.109093502282008,0.566726219072784,0.646909280166546,0.243197764032348,3.12775242213148e-05,2.25198174393466e-05,2015,2,27,4
2015-02-28,2.50220193770518e-05,3.37797261590199e-05,0.222754774201297,0.693023610777484,0.529129383857795,0.0969265453599167,3.25286251901673e-05,2.50213620198706e-05,2015,2,28,5
2015-03-01,1.87651059102578e-05,5.62953177307733e-05,0.0680885612918399,0.468021757514799,0.554289953412497,0.189701459675038,2.62711482743609e-05,2.5020141213677e-05,2015,3,1,6
2015-03-02,2.00161129709416e-05,5.0040282427354e-05,0.11868804387532,0.494553115257783,0.497361626109018,0.173683565270042,3.25261835777801e-05,2.5020141213677e-05,2015,3,2,0
2015-03-03,1.87651059102578e-05,5.37933036094056e-05,0.171967183582784,0.549507353419503,0.542930809301488,0.155841702570569,2.62711482743609e-05,2.25181270923093e-05,2015,3,3,1
2015-03-04,1.87651059102578e-05,5.50443106700894e-05,0.0709633755172914,0.323953282392326,0.344372219636808,0.21465654852156,2.62711482743609e-05,2.5020141213677e-05,2015,3,4,2
2015-03-05,2.75221553350447e-05,5.50443106700894e-05,0.255693333133172,0.735947437687338,0.724672111049395,0.263540900424842,3.00241694564124e-05,2.5020141213677e-05,2015,3,5,3
2015-03-06,2.25181270923093e-05,5.0040282427354e-05,0.241446864726105,0.674614314523191,0.707919875499777,0.265612568117334,3.00241694564124e-05,2.00161129709416e-05,2015,3,6,4
